method,seed,budget,n_evals,folds,own_cv,test,pick,wall_total
ags_default,0,22,22,110,0.8734577273903117,0.869917561670014,"{'learning_rate': 0.1, 'max_leaf_nodes': 31, 'max_depth': 8, 'min_samples_leaf': 50, 'l2_regularization': 1.0, 'max_features': 1.0, 'max_iter': 100}",19.563854726000045
ags_no_early_stop,0,25,150,125,0.8762290380267908,0.8718094360034765,"{'learning_rate': 0.1, 'max_leaf_nodes': 31, 'max_depth': None, 'min_samples_leaf': 50, 'l2_regularization': 1.0, 'max_features': 1.0, 'max_iter': 100}",588.4296594699999
ags_no_early_stop,0,50,150,250,0.87917355557805,0.8738420022284876,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 50, 'l2_regularization': 0.1, 'max_features': 1.0, 'max_iter': 200}",588.4296594699999
ags_no_early_stop,0,100,150,500,0.8914105116352307,0.8837374001185754,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.1, 'max_features': 1.0, 'max_iter': 200}",588.4296594699999
ags_no_early_stop,0,150,150,750,0.8934844957316868,0.88371698568011,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 5, 'l2_regularization': 0.01, 'max_features': 1.0, 'max_iter': 200}",588.4296594699999
random,0,25,150,125,0.875860129792714,0.8718589788591513,"{'learning_rate': 0.3, 'max_leaf_nodes': 63, 'max_depth': 8, 'min_samples_leaf': 20, 'l2_regularization': 1.0, 'max_features': 1.0, 'max_iter': 50}",155.06820622500027
random,0,50,150,250,0.8815557130163871,0.8762631791769128,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': 6, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",155.06820622500027
random,0,100,150,500,0.8815557130163871,0.8762631791769128,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': 6, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",155.06820622500027
random,0,150,150,750,0.8834373699542241,0.8794642367675575,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.01, 'max_features': 0.7, 'max_iter': 50}",155.06820622500027
optuna_tpe,0,25,150,125,0.8913475273025835,0.8844910160924687,"{'learning_rate': 0.1, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",838.3154578839994
optuna_tpe,0,50,150,250,0.8935587272665926,0.888466758666645,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",838.3154578839994
optuna_tpe,0,100,150,500,0.8935587272665926,0.888466758666645,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",838.3154578839994
optuna_tpe,0,150,150,750,0.8935587272665926,0.888466758666645,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",838.3154578839994
ags_default,1,23,23,112,0.8800845789609835,0.8774006193225156,"{'learning_rate': 0.3, 'max_leaf_nodes': 63, 'max_depth': 8, 'min_samples_leaf': 5, 'l2_regularization': 1.0, 'max_features': 0.5, 'max_iter': 50}",24.734340773999975
ags_no_early_stop,1,25,150,122,0.881499477005095,0.8792971165648891,"{'learning_rate': 0.3, 'max_leaf_nodes': 63, 'max_depth': 8, 'min_samples_leaf': 5, 'l2_regularization': 1.0, 'max_features': 0.5, 'max_iter': 100}",439.865024014
ags_no_early_stop,1,50,150,247,0.8838186501107849,0.8830098033488188,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': 8, 'min_samples_leaf': 2, 'l2_regularization': 1.0, 'max_features': 0.5, 'max_iter': 200}",439.865024014
ags_no_early_stop,1,100,150,482,0.8842932820460909,0.8813542292088968,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': 8, 'min_samples_leaf': 5, 'l2_regularization': 1.0, 'max_features': 0.3, 'max_iter': 200}",439.865024014
ags_no_early_stop,1,150,150,689,0.8850310985142447,0.8795288347602167,"{'learning_rate': 0.1, 'max_leaf_nodes': 63, 'max_depth': 8, 'min_samples_leaf': 5, 'l2_regularization': 1.0, 'max_features': 0.5, 'max_iter': 200}",439.865024014
random,1,25,150,125,0.8858184026723354,0.885569953939463,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.5, 'max_iter': 200}",180.7778909069998
random,1,50,150,250,0.8858184026723354,0.885569953939463,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.5, 'max_iter': 200}",180.7778909069998
random,1,100,150,500,0.8858184026723354,0.885569953939463,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.5, 'max_iter': 200}",180.7778909069998
random,1,150,150,750,0.8858184026723354,0.885569953939463,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.0, 'max_features': 0.5, 'max_iter': 200}",180.7778909069998
optuna_tpe,1,25,150,125,0.8873885121076132,0.8857311830015722,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 1.0, 'max_iter': 200}",1057.3416412300003
optuna_tpe,1,50,150,250,0.8873885121076132,0.8857311830015722,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 1.0, 'max_iter': 200}",1057.3416412300003
optuna_tpe,1,100,150,500,0.8901283305777687,0.8876786140633635,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",1057.3416412300003
optuna_tpe,1,150,150,750,0.8902453014812565,0.888863837904613,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.0, 'max_features': 0.5, 'max_iter': 200}",1057.3416412300003
ags_default,2,25,25,125,0.8673662426471415,0.861776864541896,"{'learning_rate': 0.05, 'max_leaf_nodes': 8, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",28.68324518899999
ags_no_early_stop,2,25,150,125,0.8673662426471415,0.861776864541896,"{'learning_rate': 0.05, 'max_leaf_nodes': 8, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",455.98575156200013
ags_no_early_stop,2,50,150,250,0.8772390367895986,0.8762012608349938,"{'learning_rate': 0.1, 'max_leaf_nodes': 16, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",455.98575156200013
ags_no_early_stop,2,100,150,500,0.8895929637502672,0.8824246576306389,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",455.98575156200013
ags_no_early_stop,2,150,150,750,0.8901170833755103,0.8811029966104669,"{'learning_rate': 0.3, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 10, 'l2_regularization': 0.1, 'max_features': 0.7, 'max_iter': 200}",455.98575156200013
