func,dims,levels,grid,method,seed,budget,n_evals,folds,rank_pct,found_opt,wall
sphere,4,16,65536,ags_default,0,27,27,135,0.0133209228515625,False,1.2261879420002515
sphere,4,16,65536,ags_default,1,45,45,225,0.041961669921875,False,1.275264724000408
sphere,4,16,65536,ags_default,2,13,13,65,0.00299072265625,False,1.236823194000408
sphere,4,16,65536,ags_default,3,35,35,175,0.01513671875,False,1.2930879040000036
sphere,4,16,65536,ags_default,4,50,115,250,0.266448974609375,False,0.20925440600012735
sphere,4,16,65536,ags_default,4,100,115,500,0.0545654296875,False,0.20925440600012735
sphere,4,16,65536,ags_default,4,115,115,575,0.018035888671875,False,0.20925440600012735
sphere,4,16,65536,ags_default,5,27,27,135,0.0062713623046875,False,0.04925321600012467
sphere,4,16,65536,ags_default,6,32,32,160,0.0159912109375,False,0.05568701299989698
sphere,4,16,65536,ags_default,7,18,18,90,0.046661376953125,False,0.027846711999700346
sphere,4,16,65536,ags_default,8,26,26,130,0.031585693359375,False,0.03995182600010594
sphere,4,16,65536,ags_default,9,22,22,110,0.000274658203125,False,0.03879877999997916
sphere,4,16,65536,ags_no_early_stop,0,50,200,250,0.0061492919921875,False,0.4772432449999542
sphere,4,16,65536,ags_no_early_stop,0,100,200,500,0.0006256103515625,False,0.4772432449999542
sphere,4,16,65536,ags_no_early_stop,0,200,200,984,0.0006256103515625,False,0.4772432449999542
sphere,4,16,65536,ags_no_early_stop,1,50,200,250,0.0179595947265625,False,0.42463843700033976
sphere,4,16,65536,ags_no_early_stop,1,100,200,500,0.0004119873046875,False,0.42463843700033976
sphere,4,16,65536,ags_no_early_stop,1,200,200,1000,3.0517578125e-05,False,0.42463843700033976
sphere,4,16,65536,ags_no_early_stop,2,50,200,250,0.0006103515625,False,0.42847929200024737
sphere,4,16,65536,ags_no_early_stop,2,100,200,493,1.52587890625e-05,False,0.42847929200024737
sphere,4,16,65536,ags_no_early_stop,2,200,200,937,1.52587890625e-05,False,0.42847929200024737
sphere,4,16,65536,ags_no_early_stop,3,50,200,250,0.0018768310546875,False,0.43199625499983085
sphere,4,16,65536,ags_no_early_stop,3,100,200,500,0.000335693359375,False,0.43199625499983085
sphere,4,16,65536,ags_no_early_stop,3,200,200,1000,7.62939453125e-05,False,0.43199625499983085
sphere,4,16,65536,ags_no_early_stop,4,50,200,250,0.266448974609375,False,0.3957853649999379
sphere,4,16,65536,ags_no_early_stop,4,100,200,500,0.0545654296875,False,0.3957853649999379
sphere,4,16,65536,ags_no_early_stop,4,200,200,1000,7.62939453125e-05,False,0.3957853649999379
sphere,4,16,65536,ags_no_early_stop,5,50,200,250,0.000213623046875,False,0.3938095990001784
sphere,4,16,65536,ags_no_early_stop,5,100,200,494,0.000274658203125,False,0.3938095990001784
sphere,4,16,65536,ags_no_early_stop,5,200,200,928,6.103515625e-05,False,0.3938095990001784
sphere,4,16,65536,ags_no_early_stop,6,50,200,250,0.0042266845703125,False,0.4666152150002745
sphere,4,16,65536,ags_no_early_stop,6,100,200,500,6.103515625e-05,False,0.4666152150002745
sphere,4,16,65536,ags_no_early_stop,6,200,200,988,6.103515625e-05,False,0.4666152150002745
sphere,4,16,65536,ags_no_early_stop,7,50,200,250,0.001800537109375,False,0.3981058839999605
sphere,4,16,65536,ags_no_early_stop,7,100,200,500,0.002349853515625,False,0.3981058839999605
sphere,4,16,65536,ags_no_early_stop,7,200,200,1000,4.57763671875e-05,False,0.3981058839999605
sphere,4,16,65536,ags_no_early_stop,8,50,200,250,0.0016632080078125,False,0.4478608930003247
sphere,4,16,65536,ags_no_early_stop,8,100,200,500,4.57763671875e-05,False,0.4478608930003247
sphere,4,16,65536,ags_no_early_stop,8,200,200,993,4.57763671875e-05,False,0.4478608930003247
sphere,4,16,65536,ags_no_early_stop,9,50,200,244,0.000274658203125,False,0.4293730439999308
sphere,4,16,65536,ags_no_early_stop,9,100,200,415,0.000274658203125,False,0.4293730439999308
sphere,4,16,65536,ags_no_early_stop,9,200,200,818,1.52587890625e-05,False,0.4293730439999308
sphere,4,16,65536,random,0,50,200,250,0.0164794921875,False,0.014039790999959223
sphere,4,16,65536,random,0,100,200,500,0.0164794921875,False,0.014039790999959223
sphere,4,16,65536,random,0,200,200,1000,0.0119781494140625,False,0.014039790999959223
sphere,4,16,65536,random,1,50,200,250,0.026580810546875,False,0.013416536000022461
sphere,4,16,65536,random,1,100,200,500,0.026580810546875,False,0.013416536000022461
sphere,4,16,65536,random,1,200,200,1000,0.005584716796875,False,0.013416536000022461
sphere,4,16,65536,random,2,50,200,250,0.03033447265625,False,0.01343853800017314
sphere,4,16,65536,random,2,100,200,500,0.0184326171875,False,0.01343853800017314
sphere,4,16,65536,random,2,200,200,1000,0.008941650390625,False,0.01343853800017314
sphere,4,16,65536,random,3,50,200,250,0.0505828857421875,False,0.013350375999834796
sphere,4,16,65536,random,3,100,200,500,0.0239105224609375,False,0.013350375999834796
sphere,4,16,65536,random,3,200,200,1000,0.0117950439453125,False,0.013350375999834796
sphere,4,16,65536,random,4,50,200,250,0.008941650390625,False,0.013219882000157668
sphere,4,16,65536,random,4,100,200,500,0.009979248046875,False,0.013219882000157668
sphere,4,16,65536,random,4,200,200,1000,0.009979248046875,False,0.013219882000157668
sphere,4,16,65536,random,5,50,200,250,0.0775604248046875,False,0.01396101299997099
sphere,4,16,65536,random,5,100,200,500,0.0135040283203125,False,0.01396101299997099
sphere,4,16,65536,random,5,200,200,1000,0.0135040283203125,False,0.01396101299997099
sphere,4,16,65536,random,6,50,200,250,0.0365142822265625,False,0.013427266999769927
sphere,4,16,65536,random,6,100,200,500,0.03643798828125,False,0.013427266999769927
sphere,4,16,65536,random,6,200,200,1000,0.00439453125,False,0.013427266999769927
sphere,4,16,65536,random,7,50,200,250,0.0052947998046875,False,0.014677302000109194
sphere,4,16,65536,random,7,100,200,500,0.0052947998046875,False,0.014677302000109194
sphere,4,16,65536,random,7,200,200,1000,0.003814697265625,False,0.014677302000109194
sphere,4,16,65536,random,8,50,200,250,0.0049896240234375,False,0.013965068999823416
sphere,4,16,65536,random,8,100,200,500,0.0049896240234375,False,0.013965068999823416
sphere,4,16,65536,random,8,200,200,1000,0.0013275146484375,False,0.013965068999823416
sphere,4,16,65536,random,9,50,200,250,0.0561370849609375,False,0.014544203000241396
sphere,4,16,65536,random,9,100,200,500,0.0190277099609375,False,0.014544203000241396
sphere,4,16,65536,random,9,200,200,1000,0.000701904296875,False,0.014544203000241396
sphere,4,16,65536,optuna_tpe,0,50,200,250,0.0007171630859375,False,0.9034976190000634
sphere,4,16,65536,optuna_tpe,0,100,200,500,0.0001678466796875,False,0.9034976190000634
sphere,4,16,65536,optuna_tpe,0,200,200,1000,0.00030517578125,False,0.9034976190000634
sphere,4,16,65536,optuna_tpe,1,50,200,250,0.0002899169921875,False,0.9276128530000278
sphere,4,16,65536,optuna_tpe,1,100,200,500,0.0001068115234375,False,0.9276128530000278
sphere,4,16,65536,optuna_tpe,1,200,200,1000,3.0517578125e-05,False,0.9276128530000278
sphere,4,16,65536,optuna_tpe,2,50,200,250,0.0003204345703125,False,0.9185619959998803
sphere,4,16,65536,optuna_tpe,2,100,200,500,1.52587890625e-05,False,0.9185619959998803
sphere,4,16,65536,optuna_tpe,2,200,200,1000,1.52587890625e-05,False,0.9185619959998803
sphere,4,16,65536,optuna_tpe,3,50,200,250,0.000335693359375,False,1.014274407999892
sphere,4,16,65536,optuna_tpe,3,100,200,500,0.000335693359375,False,1.014274407999892
sphere,4,16,65536,optuna_tpe,3,200,200,1000,7.62939453125e-05,False,1.014274407999892
sphere,4,16,65536,optuna_tpe,4,50,200,250,0.00030517578125,False,0.8991033620000053
sphere,4,16,65536,optuna_tpe,4,100,200,500,0.000274658203125,False,0.8991033620000053
sphere,4,16,65536,optuna_tpe,4,200,200,1000,7.62939453125e-05,False,0.8991033620000053
sphere,4,16,65536,optuna_tpe,5,50,200,250,0.0009002685546875,False,0.7222620270003972
sphere,4,16,65536,optuna_tpe,5,100,200,500,0.0003204345703125,False,0.7222620270003972
sphere,4,16,65536,optuna_tpe,5,200,200,1000,0.000274658203125,False,0.7222620270003972
sphere,4,16,65536,optuna_tpe,6,50,200,250,0.001190185546875,False,0.8560457159996986
sphere,4,16,65536,optuna_tpe,6,100,200,500,0.00018310546875,False,0.8560457159996986
sphere,4,16,65536,optuna_tpe,6,200,200,1000,6.103515625e-05,False,0.8560457159996986
sphere,4,16,65536,optuna_tpe,7,50,200,250,6.103515625e-05,False,0.7808297229998971
sphere,4,16,65536,optuna_tpe,7,100,200,500,6.103515625e-05,False,0.7808297229998971
sphere,4,16,65536,optuna_tpe,7,200,200,1000,7.62939453125e-05,False,0.7808297229998971
sphere,4,16,65536,optuna_tpe,8,50,200,250,0.000244140625,False,0.8299690499998178
sphere,4,16,65536,optuna_tpe,8,100,200,500,0.000244140625,False,0.8299690499998178
sphere,4,16,65536,optuna_tpe,8,200,200,1000,0.0004425048828125,False,0.8299690499998178
sphere,4,16,65536,optuna_tpe,9,50,200,250,0.001068115234375,False,0.8451899820001927
sphere,4,16,65536,optuna_tpe,9,100,200,500,0.00042724609375,False,0.8451899820001927
sphere,4,16,65536,optuna_tpe,9,200,200,1000,1.52587890625e-05,False,0.8451899820001927
rosenbrock,4,16,65536,ags_default,0,50,56,250,0.0012664794921875,False,0.12747927600003095
rosenbrock,4,16,65536,ags_default,0,56,56,280,9.1552734375e-05,False,0.12747927600003095
rosenbrock,4,16,65536,ags_default,1,14,14,70,0.1678466796875,False,0.01994090200014398
rosenbrock,4,16,65536,ags_default,2,20,20,100,0.0010833740234375,False,0.03702514099995824
rosenbrock,4,16,65536,ags_default,3,24,24,120,0.000885009765625,False,0.034642029000224284
rosenbrock,4,16,65536,ags_default,4,50,87,250,0.1977081298828125,False,0.16807749400004468
rosenbrock,4,16,65536,ags_default,4,87,87,435,0.1381683349609375,False,0.16807749400004468
rosenbrock,4,16,65536,ags_default,5,16,16,80,0.126922607421875,False,0.02099825100003727
rosenbrock,4,16,65536,ags_default,6,15,15,75,0.0254669189453125,False,0.02034307899975829
rosenbrock,4,16,65536,ags_default,7,27,27,135,0.0004119873046875,False,0.04076986600011878
rosenbrock,4,16,65536,ags_default,8,14,14,70,0.08734130859375,False,0.0192525749998822
rosenbrock,4,16,65536,ags_default,9,22,22,110,0.004669189453125,False,0.03148507999958383
rosenbrock,4,16,65536,ags_no_early_stop,0,50,200,250,0.0012664794921875,False,0.4260875790000682
rosenbrock,4,16,65536,ags_no_early_stop,0,100,200,500,9.1552734375e-05,False,0.4260875790000682
rosenbrock,4,16,65536,ags_no_early_stop,0,200,200,962,6.103515625e-05,False,0.4260875790000682
rosenbrock,4,16,65536,ags_no_early_stop,1,50,200,250,0.0248260498046875,False,0.4059163779998016
rosenbrock,4,16,65536,ags_no_early_stop,1,100,200,500,4.57763671875e-05,False,0.4059163779998016
