task,method,seed,t,folds,regret
svc_digits,ags_default,0,1,5,0.02533333333333332
svc_digits,ags_default,0,2,10,0.02533333333333332
svc_digits,ags_default,0,3,15,0.02533333333333332
svc_digits,ags_default,0,4,20,0.02400000000000002
svc_digits,ags_default,0,5,25,0.02400000000000002
svc_digits,ags_default,0,6,30,0.02400000000000002
svc_digits,ags_default,0,7,35,0.02400000000000002
svc_digits,ags_default,0,8,40,0.0013333333333332975
svc_digits,ags_default,0,9,45,0.0013333333333332975
svc_digits,ags_default,0,10,50,0.0013333333333332975
svc_digits,ags_default,0,11,55,0.0013333333333332975
svc_digits,ags_default,0,12,60,0.0013333333333332975
svc_digits,ags_default,0,13,65,0.00533333333333319
svc_digits,ags_default,0,14,70,0.00533333333333319
svc_digits,ags_default,0,15,75,0.00533333333333319
svc_digits,ags_default,0,16,80,0.00533333333333319
svc_digits,ags_default,0,17,85,0.00533333333333319
svc_digits,ags_default,0,18,90,0.00533333333333319
svc_digits,ags_default,1,1,5,0.010666666666666491
svc_digits,ags_default,1,2,10,0.010666666666666491
svc_digits,ags_default,1,3,15,0.010666666666666491
svc_digits,ags_default,1,4,20,0.010666666666666491
svc_digits,ags_default,1,5,25,0.010666666666666491
svc_digits,ags_default,1,6,30,0.010666666666666491
svc_digits,ags_default,1,7,35,0.010666666666666491
svc_digits,ags_default,1,8,40,0.010666666666666491
svc_digits,ags_default,1,9,45,0.010666666666666491
svc_digits,ags_default,1,10,50,0.010666666666666491
svc_digits,ags_default,1,11,55,0.010666666666666491
svc_digits,ags_default,1,12,60,0.010666666666666491
svc_digits,ags_default,1,13,65,0.010666666666666491
svc_digits,ags_default,2,1,5,0.6013333333333333
svc_digits,ags_default,2,2,10,0.6013333333333333
svc_digits,ags_default,2,3,15,0.0013333333333332975
svc_digits,ags_default,2,4,20,0.0013333333333332975
svc_digits,ags_default,2,5,25,0.0013333333333332975
svc_digits,ags_default,2,6,30,0.0013333333333332975
svc_digits,ags_default,2,7,35,0.0013333333333332975
svc_digits,ags_default,2,8,40,0.0013333333333332975
svc_digits,ags_default,2,9,45,0.0013333333333332975
svc_digits,ags_default,2,10,50,0.00533333333333319
svc_digits,ags_default,2,11,55,0.00533333333333319
svc_digits,ags_default,2,12,60,0.00533333333333319
svc_digits,ags_default,2,13,65,0.00533333333333319
svc_digits,ags_default,2,14,70,0.00533333333333319
svc_digits,ags_default,2,15,75,0.00533333333333319
svc_digits,ags_default,3,1,5,0.2493333333333333
svc_digits,ags_default,3,2,10,0.00533333333333319
svc_digits,ags_default,3,3,15,0.0013333333333332975
svc_digits,ags_default,3,4,20,0.0013333333333332975
svc_digits,ags_default,3,5,25,0.0013333333333332975
svc_digits,ags_default,3,6,30,0.0013333333333332975
svc_digits,ags_default,3,7,35,0.0013333333333332975
svc_digits,ags_default,3,8,40,0.0013333333333332975
svc_digits,ags_default,3,9,45,0.0013333333333332975
svc_digits,ags_default,3,10,50,0.0013333333333332975
svc_digits,ags_default,3,11,55,0.0013333333333332975
svc_digits,ags_default,3,12,60,0.0013333333333332975
svc_digits,ags_default,3,13,65,0.0013333333333332975
svc_digits,ags_default,4,1,5,0.0039999999999998925
svc_digits,ags_default,4,2,10,0.0039999999999998925
svc_digits,ags_default,4,3,15,0.0039999999999998925
svc_digits,ags_default,4,4,20,0.0039999999999998925
svc_digits,ags_default,4,5,25,0.00533333333333319
svc_digits,ags_default,4,6,30,0.00533333333333319
svc_digits,ags_default,4,7,35,0.00533333333333319
svc_digits,ags_default,4,8,40,0.00533333333333319
svc_digits,ags_default,4,9,45,0.0013333333333332975
svc_digits,ags_default,4,10,50,0.0013333333333332975
svc_digits,ags_default,4,11,55,0.0013333333333332975
svc_digits,ags_default,4,12,60,0.0013333333333332975
svc_digits,ags_default,4,13,65,0.0013333333333332975
svc_digits,ags_default,4,14,70,0.0013333333333332975
svc_digits,ags_default,5,1,5,0.00533333333333319
svc_digits,ags_default,5,2,10,0.00533333333333319
svc_digits,ags_default,5,3,15,0.00533333333333319
svc_digits,ags_default,5,4,20,0.00533333333333319
svc_digits,ags_default,5,5,25,0.00533333333333319
svc_digits,ags_default,5,6,30,0.00533333333333319
svc_digits,ags_default,5,7,35,0.00533333333333319
svc_digits,ags_default,5,8,40,0.00533333333333319
svc_digits,ags_default,5,9,45,0.00533333333333319
svc_digits,ags_default,5,10,50,0.00533333333333319
svc_digits,ags_default,5,11,55,0.00533333333333319
svc_digits,ags_default,5,12,60,0.00533333333333319
svc_digits,ags_default,5,13,65,0.00533333333333319
svc_digits,ags_default,6,1,5,0.0039999999999998925
svc_digits,ags_default,6,2,10,0.0039999999999998925
svc_digits,ags_default,6,3,15,0.0039999999999998925
svc_digits,ags_default,6,4,20,0.0039999999999998925
svc_digits,ags_default,6,5,25,0.0039999999999998925
svc_digits,ags_default,6,6,30,0.0
svc_digits,ags_default,6,7,35,0.0
svc_digits,ags_default,6,8,40,0.0
svc_digits,ags_default,6,9,45,0.0
svc_digits,ags_default,6,10,50,0.0
svc_digits,ags_default,6,11,55,0.0
svc_digits,ags_default,6,12,60,0.0013333333333332975
svc_digits,ags_default,6,13,65,0.0013333333333332975
svc_digits,ags_default,6,14,70,0.0013333333333332975
svc_digits,ags_default,6,15,72,0.0013333333333332975
svc_digits,ags_default,6,16,77,0.0013333333333332975
svc_digits,ags_default,6,17,82,0.0013333333333332975
svc_digits,ags_default,7,1,5,0.010666666666666713
svc_digits,ags_default,7,2,10,0.010666666666666713
svc_digits,ags_default,7,3,15,0.010666666666666713
svc_digits,ags_default,7,4,20,0.00533333333333319
svc_digits,ags_default,7,5,25,0.00533333333333319
svc_digits,ags_default,7,6,30,0.00533333333333319
svc_digits,ags_default,7,7,35,0.00533333333333319
svc_digits,ags_default,7,8,40,0.00533333333333319
svc_digits,ags_default,7,9,45,0.00533333333333319
svc_digits,ags_default,7,10,50,0.00533333333333319
svc_digits,ags_default,7,11,55,0.00533333333333319
svc_digits,ags_default,7,12,60,0.00533333333333319
svc_digits,ags_default,7,13,65,0.00533333333333319
svc_digits,ags_default,7,14,70,0.00533333333333319
svc_digits,ags_default,7,15,75,0.00533333333333319
svc_digits,ags_default,7,16,80,0.00533333333333319
svc_digits,ags_default,7,17,85,0.00533333333333319
svc_digits,ags_default,8,1,5,0.00533333333333319
svc_digits,ags_default,8,2,10,0.0013333333333332975
svc_digits,ags_default,8,3,15,0.0013333333333332975
svc_digits,ags_default,8,4,20,0.0013333333333332975
svc_digits,ags_default,8,5,25,0.0013333333333332975
svc_digits,ags_default,8,6,30,0.0013333333333332975
svc_digits,ags_default,8,7,35,0.0013333333333332975
