state,ref_cv,test,cv_time
"(0, 0, 0)",-0.6094076359592888,-0.5101880247226667,0.061318196999991414
"(0, 0, 1)",-0.6318941292925777,-0.5754372802696,0.046515776999996206
"(0, 1, 0)",-0.6094076359592888,-0.5101880247226667,0.06023022300001912
"(0, 1, 1)",-0.6318941292925777,-0.5754372802696,0.0498697849999985
"(1, 0, 0)",-0.48262449121616663,-0.41414761479566664,0.06205528099999924
"(1, 0, 1)",-0.5158007547075999,-0.42809020533560005,0.04426766800000337
"(1, 1, 0)",-0.4760641719381412,-0.41131051000890756,0.06013246300000219
"(1, 1, 1)",-0.5067812569606339,-0.4297337106025413,0.044754956000019774
"(2, 0, 0)",-0.4396357638673135,-0.3727862738007851,0.06180110900001523
"(2, 0, 1)",-0.4701576019158272,-0.37691188327354075,0.04491167399999085
"(2, 1, 0)",-0.43168121108314345,-0.3713377242059424,0.0631613050000226
"(2, 1, 1)",-0.4620796404695692,-0.37842513097794384,0.045864135000016404
"(3, 0, 0)",-0.4058885927156302,-0.33193174915105067,0.06355726300000697
"(3, 0, 1)",-0.4278786473814809,-0.34910633071599995,0.04869434299999398
"(3, 1, 0)",-0.39911139970331555,-0.32831530948130877,0.0662320579999971
"(3, 1, 1)",-0.4209691130484762,-0.34600597429418983,0.058034544000008736
"(4, 0, 0)",-0.39057974875674784,-0.34574375224915,0.06819395699997699
"(4, 0, 1)",-0.416321080605043,-0.3481263297404625,0.05027018399999861
"(4, 1, 0)",-0.38370858728939006,-0.3363046557210284,0.07890790400000469
"(4, 1, 1)",-0.4080817054504463,-0.3408316733008576,0.05422691399999735
"(5, 0, 0)",-0.4008391416725292,-0.3397167301825064,0.06969129799998086
"(5, 0, 1)",-0.41856268895617743,-0.3467630286194102,0.053979427999991
"(5, 1, 0)",-0.3905367143756647,-0.3296681222212213,0.10964571400000978
"(5, 1, 1)",-0.4085702047324585,-0.3372412821373509,0.058574957999979915
"(6, 0, 0)",-0.4149164813261942,-0.33473049657200504,0.08016683600001784
"(6, 0, 1)",-0.4316288067140734,-0.358773598923468,0.06275709100000881
"(6, 1, 0)",-0.402263739030469,-0.3242268408268247,0.07688454300000558
"(6, 1, 1)",-0.4191767567286295,-0.3467916427188602,0.062084293999987494
"(7, 0, 0)",-0.43137120075120466,-0.35962638103517247,0.07699903100001393
"(7, 0, 1)",-0.4509954403305586,-0.3753626643316299,0.06414098600001239
"(7, 1, 0)",-0.41656599723063603,-0.34451599172142944,0.07942689600000108
"(7, 1, 1)",-0.4360410362496962,-0.36090262861488964,0.06930564399999639
"(8, 0, 0)",-0.4510073244573653,-0.37586452101599493,0.08547300699999028
"(8, 0, 1)",-0.4763492548612935,-0.38886480174332033,0.0717541949999827
"(8, 1, 0)",-0.4337957144486436,-0.3593689548287636,0.08623333500000285
"(8, 1, 1)",-0.4579830045102134,-0.37313752039627784,0.07204289500000982
"(9, 0, 0)",-0.485084266686367,-0.4019406906463099,0.09033114199999659
"(9, 0, 1)",-0.5020549445195772,-0.40869258363041355,0.0797798769999929
"(9, 1, 0)",-0.4633543855728132,-0.38205877223429624,0.09559461699998906
"(9, 1, 1)",-0.48120793257191863,-0.3904545108664541,0.08523404100000675
"(10, 0, 0)",-0.5249331644435185,-0.4362091652476175,0.10491656499999635
"(10, 0, 1)",-0.5350115087140128,-0.4430192104226524,0.09181686799999511
"(10, 1, 0)",-0.4979498019568574,-0.41220312027197514,0.11151762000000076
"(10, 1, 1)",-0.5098789725901026,-0.4200781580097693,0.0919019789999993
"(11, 0, 0)",-0.5713047738648382,-0.4802329799313427,0.12465892500000564
"(11, 0, 1)",-0.5787826489828639,-0.48769966698878475,0.11082768599999326
"(11, 1, 0)",-0.538690391445952,-0.4505030829426379,0.13519970200002263
"(11, 1, 1)",-0.548033644547681,-0.4590262577700047,0.11157920700000545
