state,ref_cv,test,cv_time
"(0, 0)",0.38133333333333336,0.484,0.1350336010000035
"(0, 1)",0.38133333333333336,0.484,0.1253052890000106
"(0, 2)",0.38133333333333336,0.484,0.13687182399999642
"(0, 3)",0.38133333333333336,0.484,0.13381090200002177
"(0, 4)",0.3826666666666667,0.484,0.12233185700000604
"(0, 5)",0.38533333333333336,0.488,0.10690296499998908
"(0, 6)",0.38933333333333336,0.492,0.12256426999999803
"(0, 7)",0.39466666666666667,0.496,0.11619069800002535
"(0, 8)",0.34800000000000003,0.44,0.1267696609999973
"(0, 9)",0.1933333333333333,0.224,0.1148483289999831
"(0, 10)",0.11599999999999999,0.144,0.12636873100001367
"(1, 0)",0.38133333333333336,0.484,0.13275310000000218
"(1, 1)",0.38133333333333336,0.484,0.12395443599999112
"(1, 2)",0.38133333333333336,0.484,0.11701492899999266
"(1, 3)",0.38133333333333336,0.484,0.11894645799998216
"(1, 4)",0.3826666666666667,0.484,0.1205657639999913
"(1, 5)",0.38533333333333336,0.488,0.12064485700003047
"(1, 6)",0.48666666666666664,0.652,0.1090290459999892
"(1, 7)",0.472,0.636,0.11497545200001014
"(1, 8)",0.34800000000000003,0.44,0.12642256899999893
"(1, 9)",0.1933333333333333,0.224,0.13061362700000245
"(1, 10)",0.11599999999999999,0.144,0.1700022469999567
"(2, 0)",0.38133333333333336,0.484,0.1793574409999792
"(2, 1)",0.38133333333333336,0.484,0.1381015470000193
"(2, 2)",0.38133333333333336,0.484,0.1787132329999963
"(2, 3)",0.38133333333333336,0.484,0.12427715699999453
"(2, 4)",0.3826666666666667,0.484,0.12260811099997682
"(2, 5)",0.7333333333333333,0.812,0.12983861200001456
"(2, 6)",0.9226666666666666,0.936,0.1097459530000151
"(2, 7)",0.9386666666666666,0.944,0.11351362400000653
"(2, 8)",0.37733333333333335,0.492,0.12528463900002862
"(2, 9)",0.1933333333333333,0.224,0.1362388090000195
"(2, 10)",0.11599999999999999,0.144,0.14137602699997842
"(3, 0)",0.38133333333333336,0.484,0.12286408199997823
"(3, 1)",0.38133333333333336,0.484,0.1444581740000217
"(3, 2)",0.38133333333333336,0.484,0.13278717200000756
"(3, 3)",0.38133333333333336,0.484,0.13058336900002132
"(3, 4)",0.784,0.868,0.12084411799997952
"(3, 5)",0.9293333333333333,0.94,0.11640956300004746
"(3, 6)",0.9546666666666667,0.976,0.07902926199994909
"(3, 7)",0.9706666666666667,0.988,0.09058198500002845
"(3, 8)",0.8613333333333333,0.92,0.12301317399999334
"(3, 9)",0.1933333333333333,0.224,0.12425082499999007
"(3, 10)",0.11599999999999999,0.144,0.14074146999996628
"(4, 0)",0.38133333333333336,0.484,0.11121444000002612
"(4, 1)",0.38133333333333336,0.484,0.11162511699996003
"(4, 2)",0.38133333333333336,0.484,0.12376639400002887
"(4, 3)",0.796,0.872,0.10837910200001488
"(4, 4)",0.9306666666666666,0.948,0.09755470900000773
"(4, 5)",0.96,0.972,0.06717919700002994
"(4, 6)",0.9786666666666667,0.984,0.060470201000043744
"(4, 7)",0.9813333333333333,0.996,0.09243794399998251
